"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U1";"LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm_ThermalVias";1;"ADBMS1818ASWAZ";;;
2;"TR1";"H0068ANL";1;"H0068ANL";;;
3;"TP21,TP20,TP19,TP18,TP17,TP16,TP15,TP14,TP13,TP12,TP11,TP10,TP9,TP8,TP7,TP6,TP5,TP4,TP3,TP2,TP1,TP0";"TestPoint_Pad_D1.0mm";22;"TestPoint";;;
4;"RT9,RT8,RT7,RT6,RT5,RT4,RT3,RT2,RT1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";9;"10k1%";;;
5;"R32,R23";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"100/120R";;;
6;"R31,R30,R24,R21";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"51R";;;
7;"R27,R26,R25";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"R";;;
8;"R22";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1-3k";;;
9;"R20,R19";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"100R";;;
10;"R18B1,R17B1,R16B1,R15B1,R14B1,R13B1,R12B1,R11B1,R10B1,R9B1,R8B1,R7B1,R6B1,R5B1,R4B1,R3B1,R2B1,R1B1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";18;"33R";;;
11;"R18,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1,R0";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";19;"10R";;;
12;"Q1";"SOT-223-3_TabPin2";1;"Q_NPN_BCE DZT5551";;;
13;"OP1";"DIP-8_W7.62mm_Socket_LongPads";1;"LT1636";;;
14;"JP9,JP4,JP3";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";3;"SolderJumper_3_Open";;;
15;"JP8,JP7,JP6,JP5";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";4;"SolderJumper_2_Open";;;
16;"JP2";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"isoSPI Mode";;;
17;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"SPI Mode";;;
18;"J6";"Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical";1;"ToMaster";;;
19;"J4";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"Conn_02x02_Odd_Even";;;
20;"J3";"Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical";1;"ToSlave";;;
21;"H3,H2,H1";"MountingHole_3.2mm_M3_DIN965";3;"MountingHole";;;
22;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
23;"C27,C26,C25,C24";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10n";;;
24;"C23,C20";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1u ";;;
25;"C22";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1u";;;
26;"C21";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0u1 100V";;;
27;"C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";18;"C_Small";;;
28;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100n 100V";;;
29;"J2";"Molex_Micro-Fit_3.0_43045-2000_2x10_P3.00mm_Horizontal";1;"Conn_02x10_Odd_Even";;;
30;"J1";"Molex_Micro-Fit_3.0_43045-2000_2x10_P3.00mm_Horizontal";1;"Conn_01x20_Female";;;
